Language,Score Type,accuracy,f1_score,precision,recall
Bulgarian,detection,0.79,0.77,0.89,0.73
Bulgarian,fuzz,0.77,0.76,0.83,0.77
Chinese,detection,0.61,0.59,0.69,0.6
Chinese,fuzz,0.68,0.65,0.72,0.64
English,detection,0.59,0.66,0.59,0.8
English,fuzz,0.66,0.62,0.74,0.62
French,detection,0.82,0.78,0.94,0.68
French,fuzz,0.82,0.81,0.89,0.75
German,detection,0.86,0.83,0.96,0.74
German,fuzz,0.83,0.81,0.89,0.75
Hindi,detection,0.78,0.7,0.96,0.58
Hindi,fuzz,0.78,0.72,0.92,0.63
Italian,detection,0.69,0.58,0.84,0.53
Italian,fuzz,0.68,0.62,0.75,0.61
Japanese,detection,0.7,0.6,0.92,0.49
Japanese,fuzz,0.73,0.67,0.87,0.58
Korean,detection,0.69,0.53,0.93,0.43
Korean,fuzz,0.69,0.58,0.87,0.5
Portuguese,detection,0.85,0.82,0.92,0.77
Portuguese,fuzz,0.82,0.81,0.86,0.8
Russian,detection,0.74,0.65,0.93,0.52
Russian,fuzz,0.75,0.71,0.86,0.64
Spanish,detection,0.74,0.7,0.85,0.6
Spanish,fuzz,0.7,0.71,0.73,0.72
Thai,detection,0.7,0.67,0.83,0.63
Thai,fuzz,0.69,0.68,0.78,0.7
Turkish,detection,0.78,0.71,0.94,0.61
Turkish,fuzz,0.78,0.74,0.89,0.68
Vietnamese,detection,0.76,0.68,0.92,0.59
Vietnamese,fuzz,0.77,0.7,0.9,0.63
