Language,Layer,Index,Similarity
English,layers.2.mlp,14207,-0.278
English,layers.4.mlp,34138,-0.212
English,layers.8.mlp,123973,-0.058
English,layers.15.mlp,5889,-0.043
English,layers.15.mlp,67343,0.947
French,layers.5.mlp,63694,-0.028
French,layers.8.mlp,86519,-0.021
French,layers.9.mlp,16701,0.025
French,layers.9.mlp,44983,0.021
French,layers.11.mlp,25732,0.028
French,layers.11.mlp,110940,-0.025
French,layers.12.mlp,22084,-0.071
French,layers.12.mlp,41725,0.108
French,layers.13.mlp,6455,0.067
French,layers.13.mlp,77011,0.033
French,layers.14.mlp,45764,-0.010
German,layers.2.mlp,56064,0.006
German,layers.5.mlp,31366,-0.002
German,layers.8.mlp,79729,-0.017
German,layers.9.mlp,9083,0.034
German,layers.10.mlp,44371,0.075
German,layers.11.mlp,27401,-0.070
German,layers.11.mlp,52681,0.098
German,layers.12.mlp,107855,0.122
German,layers.14.mlp,312,0.014
German,layers.14.mlp,48455,0.010
German,layers.15.mlp,17109,-0.039
German,layers.15.mlp,75403,-0.152
German,layers.15.mlp,130833,-0.048
Hindi,layers.0.mlp,17276,-0.086
Hindi,layers.0.mlp,26755,0.039
Hindi,layers.0.mlp,33080,0.009
Hindi,layers.0.mlp,53040,-0.047
Hindi,layers.0.mlp,55180,-0.135
Hindi,layers.0.mlp,56263,-0.021
Hindi,layers.0.mlp,76485,-0.195
Hindi,layers.0.mlp,101208,-0.156
Hindi,layers.0.mlp,122265,-0.133
Hindi,layers.0.mlp,128987,-0.007
Hindi,layers.1.mlp,9891,0.003
Hindi,layers.1.mlp,49724,0.005
Hindi,layers.1.mlp,56943,-0.086
Hindi,layers.1.mlp,65640,-0.139
Hindi,layers.1.mlp,106597,-0.090
Hindi,layers.2.mlp,49394,-0.011
Hindi,layers.2.mlp,53504,0.004
Hindi,layers.2.mlp,70081,-0.020
Hindi,layers.3.mlp,12962,-0.004
Hindi,layers.3.mlp,82959,-0.112
Hindi,layers.3.mlp,85531,0.032
Hindi,layers.3.mlp,106101,0.001
Hindi,layers.3.mlp,128429,-0.014
Hindi,layers.4.mlp,37982,0.003
Hindi,layers.4.mlp,76042,-0.032
Hindi,layers.4.mlp,98694,-0.032
Hindi,layers.5.mlp,128732,-0.019
Hindi,layers.7.mlp,129521,-0.022
Hindi,layers.8.mlp,13166,-0.019
Hindi,layers.8.mlp,17924,0.006
Hindi,layers.8.mlp,48133,-0.026
Hindi,layers.8.mlp,88795,-0.002
Hindi,layers.9.mlp,12012,-0.018
Hindi,layers.9.mlp,26002,-0.029
Hindi,layers.9.mlp,29761,-0.041
Hindi,layers.9.mlp,69906,-0.013
Hindi,layers.9.mlp,77447,0.014
Hindi,layers.9.mlp,94557,-0.010
Hindi,layers.9.mlp,119704,-0.087
Hindi,layers.10.mlp,13080,-0.041
Hindi,layers.10.mlp,44479,-0.061
Hindi,layers.10.mlp,49310,-0.039
Hindi,layers.10.mlp,61058,-0.055
Hindi,layers.10.mlp,84378,0.007
Hindi,layers.10.mlp,87650,-0.078
Hindi,layers.10.mlp,101033,-0.089
Hindi,layers.10.mlp,115455,-0.029
Hindi,layers.10.mlp,119016,-0.027
Hindi,layers.10.mlp,126020,-0.010
Hindi,layers.11.mlp,16927,-0.017
Hindi,layers.11.mlp,26219,0.031
Hindi,layers.11.mlp,52559,0.027
Hindi,layers.11.mlp,56085,-0.004
Hindi,layers.11.mlp,63085,-0.025
Hindi,layers.11.mlp,89219,0.015
Hindi,layers.11.mlp,100951,-0.051
Hindi,layers.11.mlp,114722,-0.011
Hindi,layers.11.mlp,129484,-0.041
Hindi,layers.12.mlp,5795,0.022
Hindi,layers.12.mlp,9045,0.106
Hindi,layers.12.mlp,10675,0.029
Hindi,layers.12.mlp,13954,-0.089
Hindi,layers.12.mlp,25328,-0.002
Hindi,layers.12.mlp,46246,-0.058
Hindi,layers.12.mlp,46338,-0.009
Hindi,layers.12.mlp,49871,-0.084
Hindi,layers.12.mlp,57856,-0.017
Hindi,layers.12.mlp,72462,-0.118
Hindi,layers.12.mlp,80456,-0.048
Hindi,layers.12.mlp,92233,-0.019
Hindi,layers.12.mlp,96938,-0.111
Hindi,layers.12.mlp,108252,-0.049
Hindi,layers.12.mlp,108339,-0.047
Hindi,layers.12.mlp,116711,-0.035
Hindi,layers.13.mlp,17614,-0.060
Hindi,layers.13.mlp,23180,-0.119
Hindi,layers.13.mlp,39402,0.001
Hindi,layers.13.mlp,57919,-0.051
Hindi,layers.13.mlp,69531,-0.063
Hindi,layers.13.mlp,74419,-0.069
Hindi,layers.13.mlp,100472,0.051
Hindi,layers.13.mlp,109574,-0.064
Hindi,layers.13.mlp,111068,-0.042
Hindi,layers.13.mlp,113614,-0.064
Hindi,layers.13.mlp,119344,0.076
Hindi,layers.13.mlp,122646,-0.000
Hindi,layers.14.mlp,22707,-0.034
Hindi,layers.14.mlp,27401,-0.043
Hindi,layers.14.mlp,27671,-0.005
Hindi,layers.14.mlp,38728,-0.009
Hindi,layers.14.mlp,63110,-0.064
Hindi,layers.14.mlp,70559,-0.008
Hindi,layers.14.mlp,77614,0.006
Hindi,layers.14.mlp,79133,-0.041
Hindi,layers.14.mlp,102271,-0.010
Hindi,layers.14.mlp,108281,0.011
Hindi,layers.14.mlp,108954,0.007
Hindi,layers.14.mlp,125706,-0.017
Hindi,layers.15.mlp,3696,-0.046
Hindi,layers.15.mlp,16877,0.020
Hindi,layers.15.mlp,28301,0.008
Hindi,layers.15.mlp,49232,0.019
Hindi,layers.15.mlp,52158,-0.004
Hindi,layers.15.mlp,53517,-0.033
Hindi,layers.15.mlp,56951,0.001
Hindi,layers.15.mlp,76535,0.004
Hindi,layers.15.mlp,77521,0.014
Hindi,layers.15.mlp,79680,0.025
Hindi,layers.15.mlp,85279,-0.023
Hindi,layers.15.mlp,94347,0.047
Hindi,layers.15.mlp,99002,-0.008
Hindi,layers.15.mlp,101032,0.006
Hindi,layers.15.mlp,112041,-0.013
Hindi,layers.15.mlp,114764,-0.011
Hindi,layers.15.mlp,119973,-0.033
Italian,layers.1.mlp,28636,-0.058
Italian,layers.1.mlp,47594,-0.015
Italian,layers.2.mlp,33390,0.013
Italian,layers.3.mlp,120200,-0.001
Italian,layers.4.mlp,114161,-0.032
Italian,layers.6.mlp,109638,-0.035
Italian,layers.7.mlp,52987,-0.028
Italian,layers.8.mlp,13547,-0.004
Italian,layers.9.mlp,5106,-0.040
Italian,layers.9.mlp,58424,-0.024
Italian,layers.10.mlp,38479,-0.025
Italian,layers.10.mlp,108570,-0.038
Italian,layers.11.mlp,14702,-0.097
Italian,layers.11.mlp,35463,0.033
Italian,layers.12.mlp,3234,0.126
Italian,layers.13.mlp,30409,0.095
Italian,layers.13.mlp,44286,0.062
Italian,layers.14.mlp,90522,0.003
Japanese,layers.0.mlp,100720,-0.059
Japanese,layers.0.mlp,112017,-0.095
Japanese,layers.8.mlp,32154,-0.034
Japanese,layers.9.mlp,34376,0.015
Japanese,layers.11.mlp,29972,-0.032
Japanese,layers.11.mlp,126209,0.067
Japanese,layers.12.mlp,25492,-0.058
Japanese,layers.12.mlp,121526,-0.068
Japanese,layers.13.mlp,44429,0.056
Japanese,layers.13.mlp,72538,0.024
Japanese,layers.13.mlp,77268,-0.123
Japanese,layers.13.mlp,80366,0.053
Japanese,layers.13.mlp,84606,-0.042
Japanese,layers.13.mlp,101925,0.142
Japanese,layers.13.mlp,121228,-0.038
Japanese,layers.13.mlp,125863,0.042
Japanese,layers.14.mlp,17056,-0.007
Japanese,layers.14.mlp,17850,0.001
Japanese,layers.14.mlp,34692,-0.017
Japanese,layers.14.mlp,43240,-0.002
Japanese,layers.14.mlp,44808,-0.008
Japanese,layers.14.mlp,77483,-0.010
Japanese,layers.14.mlp,85299,0.010
Japanese,layers.14.mlp,97905,0.004
Japanese,layers.14.mlp,98700,-0.003
Japanese,layers.14.mlp,119697,0.026
Japanese,layers.15.mlp,4131,-0.035
Japanese,layers.15.mlp,12716,-0.008
Japanese,layers.15.mlp,25135,-0.007
Japanese,layers.15.mlp,35007,-0.017
Japanese,layers.15.mlp,95097,-0.027
Japanese,layers.15.mlp,95151,-0.016
Japanese,layers.15.mlp,102746,0.025
Korean,layers.0.mlp,87423,-0.103
Korean,layers.4.mlp,99278,0.013
Korean,layers.6.mlp,109962,0.024
Korean,layers.7.mlp,115377,-0.057
Korean,layers.8.mlp,94922,-0.077
Korean,layers.9.mlp,31611,-0.017
Korean,layers.9.mlp,53931,-0.003
Korean,layers.10.mlp,96918,-0.044
Korean,layers.10.mlp,125019,-0.050
Korean,layers.11.mlp,64252,-0.008
Korean,layers.11.mlp,102511,0.002
Korean,layers.12.mlp,27775,-0.112
Korean,layers.12.mlp,67845,-0.062
Korean,layers.13.mlp,78512,-0.089
Korean,layers.14.mlp,87496,-0.007
Korean,layers.14.mlp,107903,-0.012
Korean,layers.15.mlp,17864,0.008
Korean,layers.15.mlp,41829,-0.008
Korean,layers.15.mlp,57880,0.021
Korean,layers.15.mlp,60936,0.013
Korean,layers.15.mlp,114116,-0.005
Korean,layers.15.mlp,131027,-0.009
Portuguese,layers.0.mlp,128645,-0.055
Portuguese,layers.2.mlp,51039,0.005
Portuguese,layers.3.mlp,129688,0.028
Portuguese,layers.4.mlp,51358,-0.049
Portuguese,layers.4.mlp,63167,-0.017
Portuguese,layers.5.mlp,23602,-0.020
Portuguese,layers.7.mlp,118682,-0.037
Portuguese,layers.8.mlp,27987,-0.035
Portuguese,layers.9.mlp,77250,-0.025
Portuguese,layers.9.mlp,99643,0.002
Portuguese,layers.10.mlp,3658,-0.079
Portuguese,layers.10.mlp,97091,-0.010
Portuguese,layers.11.mlp,19293,-0.095
Portuguese,layers.11.mlp,88127,-0.007
Portuguese,layers.12.mlp,92579,0.066
Portuguese,layers.12.mlp,125313,-0.088
Portuguese,layers.13.mlp,18811,-0.025
Portuguese,layers.13.mlp,34046,-0.172
Portuguese,layers.13.mlp,34791,-0.062
Portuguese,layers.13.mlp,40526,-0.015
Portuguese,layers.13.mlp,57410,-0.002
Portuguese,layers.13.mlp,61518,-0.012
Portuguese,layers.13.mlp,71681,0.003
Portuguese,layers.13.mlp,81450,-0.002
Portuguese,layers.14.mlp,660,-0.010
Portuguese,layers.14.mlp,1650,0.005
Portuguese,layers.14.mlp,8795,-0.019
Portuguese,layers.14.mlp,16854,0.000
Portuguese,layers.14.mlp,22918,-0.010
Portuguese,layers.14.mlp,30905,0.009
Portuguese,layers.14.mlp,35259,-0.001
Portuguese,layers.14.mlp,39613,-0.007
Portuguese,layers.14.mlp,52522,-0.007
Portuguese,layers.14.mlp,61856,0.012
Portuguese,layers.14.mlp,73514,0.011
Portuguese,layers.14.mlp,81345,0.002
Portuguese,layers.14.mlp,87187,-0.001
Portuguese,layers.14.mlp,99713,-0.002
Portuguese,layers.14.mlp,114684,0.005
Portuguese,layers.14.mlp,117527,-0.003
Portuguese,layers.14.mlp,127951,0.002
Portuguese,layers.15.mlp,5133,-0.031
Portuguese,layers.15.mlp,13973,0.002
Portuguese,layers.15.mlp,14772,-0.029
Portuguese,layers.15.mlp,16451,-0.004
Portuguese,layers.15.mlp,22802,-0.009
Portuguese,layers.15.mlp,23259,0.008
Portuguese,layers.15.mlp,26198,0.001
Portuguese,layers.15.mlp,27629,-0.014
Portuguese,layers.15.mlp,47463,-0.010
Portuguese,layers.15.mlp,49673,-0.010
Portuguese,layers.15.mlp,74006,-0.011
Portuguese,layers.15.mlp,83064,0.020
Portuguese,layers.15.mlp,106475,0.059
Russian,layers.4.mlp,48343,0.038
Russian,layers.6.mlp,121507,0.007
Russian,layers.7.mlp,110894,0.030
Russian,layers.8.mlp,69357,-0.055
Russian,layers.8.mlp,109317,0.033
Russian,layers.9.mlp,30251,-0.001
Russian,layers.9.mlp,59767,-0.014
Russian,layers.10.mlp,56594,-0.079
Russian,layers.11.mlp,8452,0.083
Russian,layers.11.mlp,74675,-0.030
Russian,layers.12.mlp,31110,-0.048
Russian,layers.12.mlp,48228,0.038
Russian,layers.13.mlp,29244,-0.048
Russian,layers.13.mlp,40052,0.003
Russian,layers.13.mlp,50197,-0.060
Russian,layers.13.mlp,68491,-0.046
Russian,layers.13.mlp,91930,0.051
Russian,layers.13.mlp,97322,-0.044
Russian,layers.13.mlp,103291,-0.014
Russian,layers.13.mlp,115738,-0.144
Russian,layers.13.mlp,120158,0.014
Russian,layers.14.mlp,44860,-0.031
Russian,layers.14.mlp,71946,0.001
Russian,layers.15.mlp,56964,-0.026
Russian,layers.15.mlp,65387,0.017
Russian,layers.15.mlp,119968,0.009
Spanish,layers.2.mlp,17631,0.018
Spanish,layers.3.mlp,4518,0.016
Spanish,layers.5.mlp,32141,0.002
Spanish,layers.11.mlp,94207,0.003
Spanish,layers.13.mlp,53088,0.041
Thai,layers.0.mlp,38602,-0.021
Thai,layers.0.mlp,48180,-0.100
Thai,layers.0.mlp,53064,-0.098
Thai,layers.0.mlp,60676,-0.185
Thai,layers.1.mlp,9059,-0.075
Thai,layers.1.mlp,73197,-0.140
Thai,layers.2.mlp,45311,-0.015
Thai,layers.2.mlp,100192,-0.054
Thai,layers.2.mlp,105874,0.012
Thai,layers.2.mlp,110194,0.049
Thai,layers.3.mlp,71756,-0.053
Thai,layers.3.mlp,130933,-0.059
Thai,layers.4.mlp,33160,-0.010
Thai,layers.5.mlp,118169,-0.037
Thai,layers.5.mlp,122535,-0.017
Thai,layers.6.mlp,61889,-0.070
Thai,layers.6.mlp,68498,0.016
Thai,layers.6.mlp,77505,-0.011
Thai,layers.6.mlp,86299,-0.008
Thai,layers.7.mlp,70835,-0.003
Thai,layers.7.mlp,128501,-0.108
Thai,layers.8.mlp,48547,-0.016
Thai,layers.8.mlp,55844,0.025
Thai,layers.8.mlp,56232,0.013
Thai,layers.8.mlp,113053,0.007
Thai,layers.9.mlp,13432,-0.002
Thai,layers.9.mlp,14922,-0.025
Thai,layers.9.mlp,51329,-0.011
Thai,layers.9.mlp,62908,-0.040
Thai,layers.9.mlp,103134,-0.048
Thai,layers.9.mlp,110801,-0.007
Thai,layers.10.mlp,27357,-0.043
Thai,layers.10.mlp,34806,-0.061
Thai,layers.10.mlp,42320,-0.035
Thai,layers.10.mlp,42706,-0.041
Thai,layers.10.mlp,72591,-0.019
Thai,layers.10.mlp,79756,0.035
Thai,layers.10.mlp,96158,-0.037
Thai,layers.10.mlp,99300,-0.021
Thai,layers.11.mlp,6599,-0.062
Thai,layers.11.mlp,10258,0.030
Thai,layers.11.mlp,95738,0.004
Thai,layers.11.mlp,130422,-0.037
Thai,layers.12.mlp,8775,-0.013
Thai,layers.12.mlp,22929,-0.018
Thai,layers.12.mlp,108692,-0.047
Thai,layers.13.mlp,38988,0.089
Thai,layers.13.mlp,40808,0.008
Thai,layers.13.mlp,74014,-0.118
Thai,layers.13.mlp,85051,0.076
Thai,layers.13.mlp,125546,-0.074
Thai,layers.14.mlp,11744,-0.005
Thai,layers.14.mlp,22779,0.028
Thai,layers.14.mlp,33861,0.026
Thai,layers.14.mlp,34721,0.015
Thai,layers.14.mlp,54904,0.009
Thai,layers.14.mlp,62719,-0.005
Thai,layers.14.mlp,73972,-0.007
Thai,layers.14.mlp,101719,0.022
Thai,layers.15.mlp,42804,0.028
Thai,layers.15.mlp,50967,0.027
Thai,layers.15.mlp,58977,-0.022
Thai,layers.15.mlp,66481,-0.063
Thai,layers.15.mlp,81190,-0.011
Turkish,layers.0.mlp,10506,-0.404
Turkish,layers.0.mlp,64723,-0.086
Turkish,layers.1.mlp,84692,-0.103
Turkish,layers.2.mlp,34696,0.013
Turkish,layers.3.mlp,4996,0.004
Turkish,layers.5.mlp,45933,0.010
Turkish,layers.6.mlp,76077,-0.053
Turkish,layers.7.mlp,95221,-0.017
Turkish,layers.8.mlp,7945,-0.006
Turkish,layers.8.mlp,113784,-0.045
Turkish,layers.9.mlp,3919,-0.105
Turkish,layers.9.mlp,8735,-0.007
Turkish,layers.10.mlp,8408,0.025
Turkish,layers.10.mlp,14995,-0.051
Turkish,layers.10.mlp,23876,0.004
Turkish,layers.10.mlp,30160,-0.037
Turkish,layers.10.mlp,38256,-0.002
Turkish,layers.10.mlp,65847,-0.004
Turkish,layers.10.mlp,81107,-0.052
Turkish,layers.10.mlp,97688,0.009
Turkish,layers.11.mlp,16555,0.007
Turkish,layers.11.mlp,19579,-0.013
Turkish,layers.11.mlp,37895,0.212
Turkish,layers.11.mlp,38442,0.040
Turkish,layers.11.mlp,55507,0.041
Turkish,layers.11.mlp,56369,0.005
Turkish,layers.11.mlp,127127,-0.010
Turkish,layers.12.mlp,40217,0.019
Turkish,layers.12.mlp,45932,0.010
Turkish,layers.12.mlp,69606,-0.051
Turkish,layers.12.mlp,102905,-0.012
Turkish,layers.12.mlp,106294,-0.107
Turkish,layers.12.mlp,112037,-0.062
Turkish,layers.13.mlp,3558,-0.037
Turkish,layers.13.mlp,25033,0.003
Turkish,layers.13.mlp,34094,-0.102
Turkish,layers.13.mlp,42039,0.005
Turkish,layers.13.mlp,63582,0.030
Turkish,layers.13.mlp,89356,-0.171
Turkish,layers.13.mlp,94117,-0.037
Turkish,layers.13.mlp,102015,0.027
Turkish,layers.13.mlp,119094,-0.033
Turkish,layers.13.mlp,119659,-0.061
Turkish,layers.14.mlp,22302,-0.001
Turkish,layers.14.mlp,30275,-0.005
Turkish,layers.14.mlp,33836,-0.004
Turkish,layers.14.mlp,43402,0.011
Turkish,layers.14.mlp,51854,-0.019
Turkish,layers.14.mlp,65657,0.010
Turkish,layers.14.mlp,87172,-0.011
Turkish,layers.14.mlp,91273,-0.002
Turkish,layers.14.mlp,106497,0.007
Turkish,layers.14.mlp,108034,0.003
Turkish,layers.15.mlp,7049,0.019
Turkish,layers.15.mlp,12913,0.011
Turkish,layers.15.mlp,29918,-0.002
Turkish,layers.15.mlp,36457,-0.034
Turkish,layers.15.mlp,57867,-0.008
Turkish,layers.15.mlp,67563,-0.011
Turkish,layers.15.mlp,86432,0.022
Turkish,layers.15.mlp,123739,-0.026
Vietnamese,layers.0.mlp,11601,-0.389
Vietnamese,layers.0.mlp,102922,-0.329
Vietnamese,layers.3.mlp,14622,-0.008
Vietnamese,layers.4.mlp,110587,-0.059
Vietnamese,layers.5.mlp,49501,-0.032
Vietnamese,layers.7.mlp,28785,-0.051
Vietnamese,layers.8.mlp,79242,-0.052
Vietnamese,layers.9.mlp,61383,-0.038
Vietnamese,layers.10.mlp,42004,-0.054
Vietnamese,layers.10.mlp,42167,-0.031
Vietnamese,layers.11.mlp,4065,-0.032
Vietnamese,layers.11.mlp,58535,-0.012
Vietnamese,layers.11.mlp,66074,-0.067
Vietnamese,layers.12.mlp,44940,0.016
Vietnamese,layers.12.mlp,56617,0.090
Vietnamese,layers.12.mlp,63803,0.003
Vietnamese,layers.12.mlp,92851,-0.113
Vietnamese,layers.12.mlp,100653,0.068
Vietnamese,layers.12.mlp,124904,-0.041
Vietnamese,layers.13.mlp,7310,-0.012
Vietnamese,layers.13.mlp,19743,0.008
Vietnamese,layers.13.mlp,65213,-0.180
Vietnamese,layers.13.mlp,75072,-0.172
Vietnamese,layers.13.mlp,77971,-0.024
Vietnamese,layers.13.mlp,98734,0.058
Vietnamese,layers.13.mlp,110071,0.021
Vietnamese,layers.14.mlp,54719,0.003
Vietnamese,layers.14.mlp,59851,0.005
Vietnamese,layers.14.mlp,71834,0.011
Vietnamese,layers.14.mlp,73696,0.013
Vietnamese,layers.14.mlp,111142,-0.028
Vietnamese,layers.14.mlp,121534,0.006
Vietnamese,layers.14.mlp,130249,0.008
Vietnamese,layers.15.mlp,489,-0.013
Vietnamese,layers.15.mlp,56098,-0.002
Vietnamese,layers.15.mlp,92076,-0.007
Vietnamese,layers.15.mlp,114319,0.027
