Language,Layer,Index,Similarity
Bulgarian,layers.0.mlp,123218,0.009
Bulgarian,layers.1.mlp,32578,-0.145
Bulgarian,layers.3.mlp,98476,0.041
Bulgarian,layers.4.mlp,3143,-0.031
Bulgarian,layers.4.mlp,82561,-0.010
Bulgarian,layers.4.mlp,92607,-0.059
Bulgarian,layers.5.mlp,949,-0.040
Bulgarian,layers.5.mlp,12333,-0.030
Bulgarian,layers.5.mlp,30265,-0.027
Bulgarian,layers.6.mlp,99108,0.018
Bulgarian,layers.6.mlp,112351,0.009
Bulgarian,layers.6.mlp,126200,-0.002
Bulgarian,layers.7.mlp,83448,-0.017
Bulgarian,layers.7.mlp,116104,-0.079
Bulgarian,layers.8.mlp,99889,-0.057
Bulgarian,layers.8.mlp,119082,-0.006
Bulgarian,layers.9.mlp,6073,-0.043
Bulgarian,layers.9.mlp,10192,-0.029
Bulgarian,layers.9.mlp,41496,-0.067
Bulgarian,layers.9.mlp,72400,-0.049
Bulgarian,layers.9.mlp,102864,-0.033
Bulgarian,layers.10.mlp,11345,-0.061
Bulgarian,layers.10.mlp,37904,-0.006
Bulgarian,layers.10.mlp,41383,-0.009
Bulgarian,layers.10.mlp,43549,-0.008
Bulgarian,layers.10.mlp,116770,-0.093
Bulgarian,layers.11.mlp,52975,-0.006
Bulgarian,layers.11.mlp,117002,0.001
Bulgarian,layers.12.mlp,16648,-0.112
Bulgarian,layers.12.mlp,41511,-0.048
Bulgarian,layers.12.mlp,42598,-0.106
Bulgarian,layers.12.mlp,43375,-0.047
Bulgarian,layers.12.mlp,53983,-0.067
Bulgarian,layers.12.mlp,80482,0.076
Bulgarian,layers.12.mlp,90069,-0.104
Bulgarian,layers.13.mlp,47240,-0.066
Bulgarian,layers.13.mlp,68656,0.043
Bulgarian,layers.13.mlp,77032,-0.015
Bulgarian,layers.13.mlp,90387,0.047
Bulgarian,layers.13.mlp,91108,-0.196
Bulgarian,layers.13.mlp,103724,0.010
Bulgarian,layers.13.mlp,119333,-0.123
Bulgarian,layers.13.mlp,125029,-0.115
Bulgarian,layers.14.mlp,11396,-0.011
Bulgarian,layers.14.mlp,14651,-0.020
Bulgarian,layers.14.mlp,17319,-0.036
Bulgarian,layers.14.mlp,68900,-0.007
Bulgarian,layers.14.mlp,112671,-0.003
Bulgarian,layers.14.mlp,117211,-0.000
Bulgarian,layers.15.mlp,119682,-0.045
Chinese,layers.2.mlp,18693,0.030
Chinese,layers.6.mlp,126429,0.028
Chinese,layers.7.mlp,82671,-0.049
Chinese,layers.9.mlp,41091,0.065
Chinese,layers.10.mlp,86769,0.023
Chinese,layers.10.mlp,119196,-0.003
Chinese,layers.11.mlp,240,-0.046
Chinese,layers.11.mlp,38263,-0.056
Chinese,layers.11.mlp,40026,0.017
Chinese,layers.11.mlp,65660,-0.016
Chinese,layers.11.mlp,73417,0.032
Chinese,layers.12.mlp,104224,0.049
Chinese,layers.13.mlp,113658,-0.030
Chinese,layers.13.mlp,118430,0.007
Chinese,layers.14.mlp,12944,-0.013
Chinese,layers.14.mlp,12987,-0.000
Chinese,layers.14.mlp,49167,-0.024
Chinese,layers.14.mlp,66584,0.002
Chinese,layers.14.mlp,88535,0.009
Chinese,layers.14.mlp,103432,0.018
Chinese,layers.14.mlp,112457,-0.041
Chinese,layers.15.mlp,11994,0.003
Chinese,layers.15.mlp,38094,-0.032
Chinese,layers.15.mlp,114546,-0.021
English,layers.0.mlp,93066,-0.200
English,layers.0.mlp,128132,-0.077
